Lab08. Моделирование СМО клиент-сервер
Многоканальная система массового обслуживания с отказами

Количество каналов обслуживания: 4
Интенсивность обслуживания: 1
Время моделирования: 10000

Показатели:
Pотк - вероятность отказа
Q - относительная пропускная способность
A - абсолютная пропускная способность
K - среднее число занятых каналов
P0 - вероятность простоя системы

lambda; total; served; rejected; Pотк; Q; A; K; P0; Pотк_теор; Q_теор; A_теор; K_теор; P0_теор
0.2000; 2068; 2067; 1; 0.0005; 0.9995; 0.2067; 0.2092; 0.9477; 0.0001; 0.9999; 0.2000; 0.2000; 0.8187
0.4000; 3934; 3927; 7; 0.0018; 0.9982; 0.3927; 0.3963; 0.9009; 0.0007; 0.9993; 0.3997; 0.3997; 0.6704
0.6000; 6077; 6056; 21; 0.0035; 0.9965; 0.6056; 0.5945; 0.8514; 0.0030; 0.9970; 0.5982; 0.5982; 0.5490
0.8000; 7965; 7901; 64; 0.0080; 0.9920; 0.7901; 0.7950; 0.8013; 0.0077; 0.9923; 0.7939; 0.7939; 0.4500
1.0000; 9918; 9771; 147; 0.0148; 0.9852; 0.9771; 0.9873; 0.7532; 0.0154; 0.9846; 0.9846; 0.9846; 0.3692
1.2000; 12153; 11831; 322; 0.0265; 0.9735; 1.1831; 1.1744; 0.7064; 0.0262; 0.9738; 1.1685; 1.1685; 0.3035
1.4000; 13928; 13362; 566; 0.0406; 0.9594; 1.3362; 1.3389; 0.6653; 0.0400; 0.9600; 1.3439; 1.3439; 0.2502
1.6000; 15840; 14992; 848; 0.0535; 0.9465; 1.4992; 1.5003; 0.6249; 0.0565; 0.9435; 1.5097; 1.5097; 0.2068
1.8000; 18077; 16653; 1424; 0.0788; 0.9212; 1.6653; 1.6867; 0.5783; 0.0750; 0.9250; 1.6649; 1.6649; 0.1715
2.0000; 20201; 18339; 1862; 0.0922; 0.9078; 1.8339; 1.8182; 0.5455; 0.0952; 0.9048; 1.8095; 1.8095; 0.1429
2.2000; 22314; 19686; 2628; 0.1178; 0.8822; 1.9686; 1.9460; 0.5135; 0.1166; 0.8834; 1.9435; 1.9435; 0.1195
2.4000; 24266; 20739; 3527; 0.1453; 0.8547; 2.0739; 2.1017; 0.4746; 0.1387; 0.8613; 2.0671; 2.0671; 0.1003
2.6000; 26071; 21771; 4300; 0.1649; 0.8351; 2.1771; 2.1801; 0.4550; 0.1612; 0.8388; 2.1809; 2.1809; 0.0846
2.8000; 27877; 22833; 5044; 0.1809; 0.8191; 2.2833; 2.2744; 0.4314; 0.1837; 0.8163; 2.2856; 2.2856; 0.0717
3.0000; 29998; 23824; 6174; 0.2058; 0.7942; 2.3824; 2.3796; 0.4051; 0.2061; 0.7939; 2.3817; 2.3817; 0.0611
3.2000; 32113; 24848; 7265; 0.2262; 0.7738; 2.4848; 2.4769; 0.3808; 0.2281; 0.7719; 2.4699; 2.4699; 0.0522
3.4000; 34097; 25587; 8510; 0.2496; 0.7504; 2.5587; 2.5514; 0.3621; 0.2497; 0.7503; 2.5510; 2.5510; 0.0448
3.6000; 35642; 26194; 9448; 0.2651; 0.7349; 2.6194; 2.6160; 0.3460; 0.2707; 0.7293; 2.6255; 2.6255; 0.0387
3.8000; 37586; 26664; 10922; 0.2906; 0.7094; 2.6664; 2.6894; 0.3276; 0.2910; 0.7090; 2.6941; 2.6941; 0.0335
